DATE,ACMTP10
2013-08-30,1.4086650575
2013-09-30,1.3912277525
2013-10-31,1.3502323634
2013-11-29,1.6833618271
2013-12-31,1.7897627221
2014-01-31,1.328558986
2014-02-28,1.2638834219
2014-03-31,1.0955865179
2014-04-30,1.0290190016
2014-05-30,0.8185627157
2014-06-30,0.8127288156
2014-07-31,0.6755581536
2014-08-29,0.4053052123
2014-09-30,0.5396213982
2014-10-31,0.4444714366
2014-11-28,0.2289258081
2014-12-31,0.0105088291
2015-01-30,-0.312895982
2015-02-27,-0.0910353987
2015-03-31,-0.0817982752
2015-04-30,0.1027137791
2015-05-29,0.2034449964
2015-06-30,0.4428188681
2015-07-31,0.2041281417
2015-08-31,0.2184227255
2015-09-30,0.1520864443
2015-10-30,0.1342810863
2015-11-30,0.0823225739
2015-12-31,0.0640010415
2016-01-29,-0.0849359914
2016-02-29,-0.3129237076
2016-03-31,-0.2376017494
2016-04-29,-0.248159141
2016-05-31,-0.3480278481
2016-06-30,-0.5827409123
2016-07-29,-0.6843553582
2016-08-31,-0.6778435748
2016-09-30,-0.5884393123
2016-10-31,-0.3390043647
2016-11-30,0.0890338043
2016-12-30,0.1421531702
2017-01-31,0.1366612518
2017-02-28,-0.023294635
2017-03-31,-0.0520937836
2017-04-28,-0.1450742967
2017-05-31,-0.2684057469
2017-06-30,-0.2277621459
2017-07-31,-0.187469188
2017-08-31,-0.3902088792
2017-09-29,-0.2684365192
2017-10-31,-0.3165174016
2017-11-30,-0.4060740686
2017-12-29,-0.5253638713
2018-01-31,-0.3831995582
2018-02-28,-0.2476983874
2018-03-29,-0.4540741852
2018-04-30,-0.3803114695
2018-05-31,-0.4597478345
2018-06-29,-0.4241059986
2018-07-31,-0.4099874733
2018-08-31,-0.4990411726
2018-09-28,-0.3896326017
2018-10-31,-0.2663788867
2018-11-30,-0.4303782514
2018-12-31,-0.605631827
2019-01-31,-0.6623026456
2019-02-28,-0.5861032284
2019-03-29,-0.7855829182
2019-04-30,-0.6350266038
